source,destination,datetime,duration
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-20 19:09:01,25
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-20 19:10:32,9
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-20 19:14:06,64
FNGiD7T4cpkOIM3mq.YdMY,Rr/7h/Jw5doGk.I9HvthOo,2012-04-22 13:41:59,37
FNGiD7T4cpkOIM3mq.YdMY,Rr/7h/Jw5doGk.I9HvthOo,2012-04-23 13:08:47,11
FNGiD7T4cpkOIM3mq.YdMY,m5YJXcVamIkxaZmrDw1mwA,2012-04-23 17:51:49,0
FNGiD7T4cpkOIM3mq.YdMY,m5YJXcVamIkxaZmrDw1mwA,2012-04-24 20:12:55,48
FNGiD7T4cpkOIM3mq.YdMY,m5YJXcVamIkxaZmrDw1mwA,2012-04-24 18:56:13,21
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-24 19:59:09,39
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-25 19:45:11,188
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-26 20:35:44,73
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-27 20:47:59,37
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-28 20:02:31,87
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-02 20:50:50,134
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-03 19:48:03,58
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-04 21:48:07,115
FNGiD7T4cpkOIM3mq.YdMY,UKpFDP.zNgYAUPsWV6RUhI,2012-05-05 13:19:15,57
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-05 21:23:27,104
FNGiD7T4cpkOIM3mq.YdMY,o88Hlga9o7.BNf7p2DzwlE,2012-05-06 11:27:55,0
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-09 20:19:22,162
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-11 20:12:06,69
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-12 19:27:50,28
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-12 21:10:23,58
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-12 21:06:28,58
FNGiD7T4cpkOIM3mq.YdMY,Ckm.acKsg3sXX98tnz4nko,2012-05-15 14:56:09,27
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-15 21:22:42,19
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-16 20:46:38,97
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-16 22:01:10,116
FNGiD7T4cpkOIM3mq.YdMY,q0XEqFaP9N2g1D/wPTT/xg,2012-05-20 09:23:32,0
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-22 20:06:47,83
FNGiD7T4cpkOIM3mq.YdMY,q0XEqFaP9N2g1D/wPTT/xg,2012-05-23 13:14:03,47
FNGiD7T4cpkOIM3mq.YdMY,q0XEqFaP9N2g1D/wPTT/xg,2012-05-23 13:15:00,42
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-23 20:31:09,55
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-25 20:46:43,41
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-26 20:07:51,57
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-26 14:09:34,7
FNGiD7T4cpkOIM3mq.YdMY,i5UlxiFAQ6cbmJ.DB1Nfeo,2012-05-27 20:46:56,54
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-30 19:51:55,27
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-05-31 19:57:09,61
.QP/64EdoTcdkMnmXGVO0A,.5Xg5.RlxpQyceozu2gfgs,2012-03-29 09:25:33,58
.QP/64EdoTcdkMnmXGVO0A,uwO/A0/9LAYy7Zg7lI0CJ2,2012-04-12 23:51:41,0
.QP/64EdoTcdkMnmXGVO0A,uwO/A0/9LAYy7Zg7lI0CJ2,2012-04-12 23:55:02,0
.QP/64EdoTcdkMnmXGVO0A,C6Ooks.wMI.srWPBHllA2c,2012-04-20 10:08:04,262
.QP/64EdoTcdkMnmXGVO0A,OAiLlFpyNfcdi4MkOeLr.U,2012-05-09 10:32:40,53
.QP/64EdoTcdkMnmXGVO0A,ey8YE1EJSgAIu6qB9mLZO6,2012-05-12 18:13:27,318
.QP/64EdoTcdkMnmXGVO0A,kGGw/vDUSkMZ7II9b8g0h2,2012-05-13 19:58:23,36
.QP/64EdoTcdkMnmXGVO0A,vgLaiGhlsxgRQT/34ovsok,2012-05-14 12:20:35,0
.QP/64EdoTcdkMnmXGVO0A,vgLaiGhlsxgRQT/34ovsok,2012-05-14 12:09:48,143
.QP/64EdoTcdkMnmXGVO0A,vgLaiGhlsxgRQT/34ovsok,2012-05-14 12:19:39,0
.QP/64EdoTcdkMnmXGVO0A,HFqaFWDOqbsvjqOgCqJeHM,2012-05-15 15:24:06,3
.QP/64EdoTcdkMnmXGVO0A,voTsChdT5MY2YYaUqOfSw2,2012-05-15 15:07:01,12
.QP/64EdoTcdkMnmXGVO0A,voTsChdT5MY2YYaUqOfSw2,2012-05-15 10:51:57,0
.QP/64EdoTcdkMnmXGVO0A,HFqaFWDOqbsvjqOgCqJeHM,2012-05-15 10:58:37,0
.QP/64EdoTcdkMnmXGVO0A,HFqaFWDOqbsvjqOgCqJeHM,2012-05-15 10:59:54,0
.QP/64EdoTcdkMnmXGVO0A,HFqaFWDOqbsvjqOgCqJeHM,2012-05-15 11:22:45,108
.QP/64EdoTcdkMnmXGVO0A,2Onqyq2Ke1gkX5taqmTLCI,2012-05-17 09:56:32,2
.QP/64EdoTcdkMnmXGVO0A,C6Ooks.wMI.srWPBHllA2c,2012-05-22 11:41:19,22
xDK0mIGasmAilJrvnFS3Pw,2Onqyq2Ke1gkX5taqmTLCI,2012-05-22 17:51:51,751
Sq1s6KEGp1Qm8MN1o1paM.,PZwUPsppLV2QVQP4zz8YYM,2012-03-28 10:20:46,61
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-02 16:23:00,23
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-02 15:48:37,403
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-02 16:29:40,126
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-02 16:04:17,40
Sq1s6KEGp1Qm8MN1o1paM.,UhZKdxjdWc6896gE/uneyk,2012-04-03 19:39:11,0
Sq1s6KEGp1Qm8MN1o1paM.,0j2M1Syx9uM4NSG0DI9a7E,2012-04-03 17:11:29,0
Sq1s6KEGp1Qm8MN1o1paM.,0j2M1Syx9uM4NSG0DI9a7E,2012-04-03 17:11:49,42
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-04 20:53:32,0
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-05 14:34:39,62
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-05 14:18:43,0
Sq1s6KEGp1Qm8MN1o1paM.,UhZKdxjdWc6896gE/uneyk,2012-04-11 16:59:54,0
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-12 17:02:16,40
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-14 12:19:13,49
Sq1s6KEGp1Qm8MN1o1paM.,ZUUSoE0o4g.WD4/pHnBmXw,2012-04-18 15:54:20,9
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-20 19:13:46,439
Sq1s6KEGp1Qm8MN1o1paM.,tjHcKwkuqaYznpPgqszf3Y,2012-04-22 10:31:16,18
Sq1s6KEGp1Qm8MN1o1paM.,E8m.H.eqaY20TRFKdWuPG2,2012-04-22 23:39:48,0
Sq1s6KEGp1Qm8MN1o1paM.,E6lPbq61a1w3HqiqBjEo92,2012-05-14 12:15:10,23
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-17 11:11:34,90
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-17 11:10:58,0
Sq1s6KEGp1Qm8MN1o1paM.,snIUyYTax0QO.d9.rMolck,2012-05-17 09:56:44,95
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-18 18:32:46,0
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-18 17:24:18,0
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-18 17:23:11,0
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-18 18:06:38,0
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-18 15:39:19,2
Sq1s6KEGp1Qm8MN1o1paM.,.UjwGHU36.MI/cMhRxY4Ss,2012-05-18 11:09:28,0
Sq1s6KEGp1Qm8MN1o1paM.,ElKEdIe/sj2lBcBWKvuZTQ,2012-05-18 13:25:35,0
Sq1s6KEGp1Qm8MN1o1paM.,ElKEdIe/sj2lBcBWKvuZTQ,2012-05-18 11:04:21,0
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-18 19:27:38,0
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-18 15:39:40,109
Sq1s6KEGp1Qm8MN1o1paM.,2Onqyq2Ke1gkX5taqmTLCI,2012-05-19 16:30:00,0
Sq1s6KEGp1Qm8MN1o1paM.,cF.4NV96K5AUNUc.DEgMIg,2012-05-23 10:39:36,0
Sq1s6KEGp1Qm8MN1o1paM.,cF.4NV96K5AUNUc.DEgMIg,2012-05-23 10:44:03,0
Sq1s6KEGp1Qm8MN1o1paM.,cF.4NV96K5AUNUc.DEgMIg,2012-05-23 11:53:18,0
Sq1s6KEGp1Qm8MN1o1paM.,cF.4NV96K5AUNUc.DEgMIg,2012-05-23 18:51:16,0
Sq1s6KEGp1Qm8MN1o1paM.,Zs.4eyKlULkE3Vs6ugbXAQ,2012-05-25 14:52:56,11
Sq1s6KEGp1Qm8MN1o1paM.,bbe7DAx6c7wEGrItkHM8oE,2012-05-26 13:19:31,0
Sq1s6KEGp1Qm8MN1o1paM.,1QWxECRWwCIIm8Jn4DyLbE,2012-05-27 18:11:47,15
Sq1s6KEGp1Qm8MN1o1paM.,8H88GNF8QzAw77Mwxa1Xww,2012-05-28 21:10:31,54
Sq1s6KEGp1Qm8MN1o1paM.,8H88GNF8QzAw77Mwxa1Xww,2012-05-28 20:53:18,0
Sq1s6KEGp1Qm8MN1o1paM.,8H88GNF8QzAw77Mwxa1Xww,2012-05-28 20:37:33,0
Sq1s6KEGp1Qm8MN1o1paM.,8H88GNF8QzAw77Mwxa1Xww,2012-05-28 20:37:24,0
Sq1s6KEGp1Qm8MN1o1paM.,8H88GNF8QzAw77Mwxa1Xww,2012-05-28 20:41:40,0
Sq1s6KEGp1Qm8MN1o1paM.,8H88GNF8QzAw77Mwxa1Xww,2012-05-28 20:44:02,0
Sq1s6KEGp1Qm8MN1o1paM.,8H88GNF8QzAw77Mwxa1Xww,2012-05-28 20:50:05,0
Sq1s6KEGp1Qm8MN1o1paM.,8H88GNF8QzAw77Mwxa1Xww,2012-05-30 19:50:11,142
BP51jL2myIMRqfYseLbGfM,2Onqyq2Ke1gkX5taqmTLCI,2012-05-22 16:58:19,83
HhulO23UWA2BVHqsECvjJY,nYTl6kDeLroo3yzImrrgR2,2012-03-26 18:02:26,0
HhulO23UWA2BVHqsECvjJY,nYTl6kDeLroo3yzImrrgR2,2012-03-26 16:48:56,28
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-03-27 16:49:14,0
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-03-27 16:48:03,61
HhulO23UWA2BVHqsECvjJY,dXCdezRKDJgnuKMGWijkSc,2012-03-30 17:51:24,0
HhulO23UWA2BVHqsECvjJY,4hBRXju0wS2WOBToeZgdPY,2012-03-30 11:22:47,85
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-02 17:41:54,16
HhulO23UWA2BVHqsECvjJY,i1C6NAwSGdgBgBwNOnMkfI,2012-04-02 18:04:40,36
HhulO23UWA2BVHqsECvjJY,CZ7M.yMjKac.CX0ujC/mWk,2012-04-02 10:07:46,107
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-02 17:42:28,536
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-03 17:07:12,99
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-03 16:47:32,57
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-03 11:39:08,581
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-03 11:06:19,36
HhulO23UWA2BVHqsECvjJY,NyWi3jdavDIK3f1NtaYrpY,2012-04-03 11:18:24,7
HhulO23UWA2BVHqsECvjJY,NyWi3jdavDIK3f1NtaYrpY,2012-04-03 11:19:26,0
HhulO23UWA2BVHqsECvjJY,NyWi3jdavDIK3f1NtaYrpY,2012-04-03 09:02:21,4
HhulO23UWA2BVHqsECvjJY,dXCdezRKDJgnuKMGWijkSc,2012-04-03 09:06:09,61
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-03 19:08:41,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-03 10:52:37,24
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-04 11:26:59,14
HhulO23UWA2BVHqsECvjJY,0TuAemhjs5MbhTr3upTWjE,2012-04-04 10:23:12,50
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-05 15:30:48,123
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-05 14:20:03,17
HhulO23UWA2BVHqsECvjJY,YAeqwdtcoVwmOVwfVsrekM,2012-04-09 11:36:50,0
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-10 17:09:11,48
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-04-12 10:52:43,156
HhulO23UWA2BVHqsECvjJY,8C.p.nMVjkc2eg6cmUE1Jk,2012-04-12 12:42:31,93
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 13:00:05,117
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 10:01:05,0
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 10:01:35,0
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 10:01:56,0
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 10:02:11,0
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 10:02:42,0
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 10:03:02,515
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 10:29:09,304
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 12:55:10,111
HhulO23UWA2BVHqsECvjJY,vV.EV.9wWNYPY4ryRq5YS6,2012-04-13 13:02:12,0
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-04-16 16:53:25,43
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-04-16 14:38:16,76
HhulO23UWA2BVHqsECvjJY,dXCdezRKDJgnuKMGWijkSc,2012-04-16 16:49:47,20
HhulO23UWA2BVHqsECvjJY,dXCdezRKDJgnuKMGWijkSc,2012-04-16 16:51:01,86
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-04-16 16:20:59,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-17 15:04:55,69
HhulO23UWA2BVHqsECvjJY,MVsS4Y7.VHoQBrTuOqG7VE,2012-04-19 10:59:32,369
HhulO23UWA2BVHqsECvjJY,D87KwvZqcXQg2Nhwg.aVHc,2012-04-19 12:20:17,143
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-20 12:15:10,71
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-23 17:41:13,67
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-23 11:37:08,66
HhulO23UWA2BVHqsECvjJY,4hBRXju0wS2WOBToeZgdPY,2012-04-23 17:19:23,23
HhulO23UWA2BVHqsECvjJY,hKeRr/AmJ/EX4J/9.Aa1CM,2012-04-23 10:58:33,67
HhulO23UWA2BVHqsECvjJY,D87KwvZqcXQg2Nhwg.aVHc,2012-04-24 12:48:04,159
HhulO23UWA2BVHqsECvjJY,4hBRXju0wS2WOBToeZgdPY,2012-04-24 11:02:54,47
HhulO23UWA2BVHqsECvjJY,D87KwvZqcXQg2Nhwg.aVHc,2012-04-24 12:10:41,53
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:12:09,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:14:13,2
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:11:15,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:08:55,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 16:19:52,92
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:09:47,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:10:37,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:10:22,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:07:33,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:13:22,12
HhulO23UWA2BVHqsECvjJY,xC57MNQRhawRHLl5aXU2VE,2012-04-26 16:47:24,81
HhulO23UWA2BVHqsECvjJY,G6j.KYQfhgstiZZYM/R3v.,2012-04-26 18:10:32,0
HhulO23UWA2BVHqsECvjJY,G6j.KYQfhgstiZZYM/R3v.,2012-04-26 18:12:21,17
HhulO23UWA2BVHqsECvjJY,G6j.KYQfhgstiZZYM/R3v.,2012-04-26 18:11:08,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 10:27:44,89
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:06:26,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:06:09,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-26 18:05:55,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-04-27 12:43:04,59
HhulO23UWA2BVHqsECvjJY,hKeRr/AmJ/EX4J/9.Aa1CM,2012-04-30 11:25:02,27
HhulO23UWA2BVHqsECvjJY,G6j.KYQfhgstiZZYM/R3v.,2012-05-02 16:00:30,325
HhulO23UWA2BVHqsECvjJY,4hBRXju0wS2WOBToeZgdPY,2012-05-02 15:08:38,196
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-05-03 14:37:34,90
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-05-03 09:59:43,102
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-05-03 09:10:39,0
HhulO23UWA2BVHqsECvjJY,m5YJXcVamIkxaZmrDw1mwA,2012-05-04 10:35:29,40
HhulO23UWA2BVHqsECvjJY,4hBRXju0wS2WOBToeZgdPY,2012-05-07 15:28:17,46
HhulO23UWA2BVHqsECvjJY,4hBRXju0wS2WOBToeZgdPY,2012-05-07 16:03:54,16
HhulO23UWA2BVHqsECvjJY,NyWi3jdavDIK3f1NtaYrpY,2012-05-08 15:38:26,0
HhulO23UWA2BVHqsECvjJY,NyWi3jdavDIK3f1NtaYrpY,2012-05-08 15:39:52,178
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-05-09 17:13:41,49
HhulO23UWA2BVHqsECvjJY,ZLNwScyVD0wzaQXGiXwve.,2012-05-09 09:13:20,62
HhulO23UWA2BVHqsECvjJY,ZLNwScyVD0wzaQXGiXwve.,2012-05-10 09:21:22,114
HhulO23UWA2BVHqsECvjJY,ZLNwScyVD0wzaQXGiXwve.,2012-05-10 18:13:22,0
HhulO23UWA2BVHqsECvjJY,dXCdezRKDJgnuKMGWijkSc,2012-05-10 17:33:38,61
HhulO23UWA2BVHqsECvjJY,CZ7M.yMjKac.CX0ujC/mWk,2012-05-10 12:10:06,43
HhulO23UWA2BVHqsECvjJY,ZLNwScyVD0wzaQXGiXwve.,2012-05-10 09:15:33,34
HhulO23UWA2BVHqsECvjJY,dXCdezRKDJgnuKMGWijkSc,2012-05-10 17:21:40,140
HhulO23UWA2BVHqsECvjJY,G5ZLy7iGU5YVwsQqz9mxU.,2012-05-14 10:48:16,131
HhulO23UWA2BVHqsECvjJY,SvGjP4G242UwKPAhuO5Beo,2012-05-14 10:49:01,17
HhulO23UWA2BVHqsECvjJY,bgG9VDE7qLElsmw2VOYF4Q,2012-05-14 17:17:19,17
HhulO23UWA2BVHqsECvjJY,i1C6NAwSGdgBgBwNOnMkfI,2012-05-15 17:05:24,0
HhulO23UWA2BVHqsECvjJY,AxtyzbHB7XENsyyTqyEV6Q,2012-05-15 16:34:44,37
HhulO23UWA2BVHqsECvjJY,hKeRr/AmJ/EX4J/9.Aa1CM,2012-05-15 09:57:35,22
HhulO23UWA2BVHqsECvjJY,hKeRr/AmJ/EX4J/9.Aa1CM,2012-05-15 10:33:35,26
HhulO23UWA2BVHqsECvjJY,4hBRXju0wS2WOBToeZgdPY,2012-05-16 16:40:25,54
HhulO23UWA2BVHqsECvjJY,4hBRXju0wS2WOBToeZgdPY,2012-05-16 16:25:09,599
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-05-16 11:15:26,221
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-05-16 11:03:03,0
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-05-16 11:02:49,0
HhulO23UWA2BVHqsECvjJY,D87KwvZqcXQg2Nhwg.aVHc,2012-05-17 11:44:58,87
HhulO23UWA2BVHqsECvjJY,NyWi3jdavDIK3f1NtaYrpY,2012-05-21 15:13:50,256
HhulO23UWA2BVHqsECvjJY,wvJqrn0ghlQNweaEdQqAg.,2012-05-21 14:49:44,25
HhulO23UWA2BVHqsECvjJY,2Onqyq2Ke1gkX5taqmTLCI,2012-05-22 18:25:35,0
HhulO23UWA2BVHqsECvjJY,2Onqyq2Ke1gkX5taqmTLCI,2012-05-22 16:56:02,51
HhulO23UWA2BVHqsECvjJY,2Onqyq2Ke1gkX5taqmTLCI,2012-05-22 17:16:29,58
HhulO23UWA2BVHqsECvjJY,hKeRr/AmJ/EX4J/9.Aa1CM,2012-05-22 17:10:01,104
HhulO23UWA2BVHqsECvjJY,0HfemXLIRssrlLas9yhDRY,2012-05-23 11:26:24,30
HhulO23UWA2BVHqsECvjJY,4hBRXju0wS2WOBToeZgdPY,2012-05-23 17:18:13,207
